time,plasma conc,CE_SI,CE_alpha,CE_beta,CE_LZc
248,0.052969473,0.058076308,0.057681361,0.058652242,0.059086268
250,0.052744295,0.05784161,0.057587524,0.058427199,0.05893002
252,0.052520129,0.057607364,0.057491142,0.058202169,0.058772056
254,0.052296971,0.057373593,0.057392286,0.057977194,0.058612445
256,0.052074816,0.057140322,0.057291021,0.057752308,0.058451252
258,0.05185366,0.056907574,0.057187415,0.057527548,0.058288543
260,0.051633498,0.056675369,0.057081532,0.057302947,0.058124381
262,0.051414326,0.056443728,0.056973437,0.057078538,0.057958827
264,0.051196138,0.05621267,0.056863191,0.056854352,0.05779194
266,0.050978931,0.055982213,0.056750856,0.056630417,0.057623779
268,0.050762699,0.055752374,0.05663649,0.056406763,0.057454401
270,0.050547439,0.055523168,0.056520153,0.056183416,0.057283859
272,0.050333147,0.055294612,0.056401901,0.055960402,0.057112208
274,0.050119817,0.055066718,0.056281791,0.055737746,0.0569395
276,0.049907445,0.054839501,0.056159877,0.05551547,0.056765785
278,0.049696026,0.054612973,0.056036213,0.055293598,0.056591113
280,0.049485558,0.054387146,0.055910852,0.055072149,0.056415531
282,0.049276034,0.05416203,0.055783845,0.054851146,0.056239085
284,0.049067451,0.053937637,0.055655242,0.054630607,0.056061823
286,0.048859805,0.053713976,0.055525093,0.05441055,0.055883786
288,0.048653091,0.053491057,0.055393446,0.054190994,0.055705019
290,0.048447304,0.053268886,0.055260348,0.053971954,0.055525563
292,0.048242442,0.053047474,0.055125845,0.053753447,0.055345458
294,0.048038499,0.052826826,0.054989983,0.053535487,0.055164743
296,0.047835471,0.05260695,0.054852806,0.05331809,0.054983457
298,0.047633354,0.052387852,0.054714356,0.053101268,0.054801638
300,0.047432143,0.052169538,0.054574678,0.052885035,0.05461932
302,0.047231836,0.051952013,0.054433811,0.052669403,0.054436541
304,0.047032427,0.051735283,0.054291798,0.052454384,0.054253333
306,0.046833913,0.051519352,0.054148676,0.052239988,0.05406973
308,0.046636289,0.051304224,0.054004487,0.052026226,0.053885764
310,0.046439551,0.051089903,0.053859267,0.051813108,0.053701467
312,0.046243696,0.050876393,0.053713053,0.051600643,0.053516869
314,0.046048718,0.050663696,0.053565882,0.051388841,0.053332
316,0.045854615,0.050451816,0.053417791,0.051177708,0.053146888
318,0.045661382,0.050240755,0.053268812,0.050967254,0.052961561
320,0.045469015,0.050030514,0.053118982,0.050757486,0.052776048
322,0.045277511,0.049821097,0.052968333,0.05054841,0.052590373
324,0.045086865,0.049612505,0.052816897,0.050340033,0.052404563
326,0.044897073,0.049404738,0.052664708,0.050132361,0.052218642
328,0.044708131,0.0491978,0.052511795,0.0499254,0.052032635
